Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?,ostateczna_x,ostateczna_y
Zachodnipomorska,"Stanica Harcerska Hufca ZHP Sławno ""Leśna Polana""",zachodniopomorskie,"76-107 Jarosławiec, ul. Bałtycka 2
Leśnictwo Górsko, Nadleśnictwo Ustka",slawno@zhp.pl,601896686.504271,w sezonie letnim,zielone szkoły;obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad morzem;,"Ośrodek położony ok. 300 m od morza. Teren płaski, drzewa głównie sosnowe. Baza z przeznaczeniem do organizacji obozów samodzielnych oraz zgrupowań obozów.",Pawilony;budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;prąd dla obozów;,plac zabaw;boisko;kąpielisko;kajaki;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,Żywienie odbywa się w oparciu o własną kuchnię i dwie stołówki na 200 miejsc (obiekty murowane). Na terenie znajduje się także plac apelowy z muszlą koncertową. Komunikacja: dworzec PKP i PKS w Sławnie (odległość 27 km) oraz przystanki autobusowe w Jarosławcu. Oferujemy pomoc w wynajmie autokarów i busów.,tak,54.539749,16.559824
Dolnośląska,Baza Karkonoskiego Hufca ZHP w Białogórze,pomorskie,"84-113, Białogóra, ulica Lubiatowska, Baza Obozowa Hufca Karkonoskiego, Leśnictwo Białogóra ",karkonoski@zhp.pl,602439924,w sezonie letnim,obóz/kolonia;,nad morzem;,"Baza znajduje się na leśnej polanie na obrzeżu wsi. Teren jet płaski i piaszczysty. Baza jest w stanie pomieścić około 3 duże obozowiskia lub więcej małych obozów. Plaża znajduje się w odległości 1,5km i prowadzą do niej dwie drogi – leśna, spokojna ścieżka z mnóstwem jagód oraz deptak biegnący bezpośrednio przez Białogórę.",możliwość przyjazdu z własnym sprzętem;namioty (baza udostępnia własne namioty);,Toalety w znajdują się w blaszakach.;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,możliwość udostępnienia rowerów;boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;,,tak,54.8120815,17.9398768
Białostocka,"Baza Harcerska ""KAMIONEK"" w Kamiennej Nowej",podlaskie,"16-200 Dąbrowa Białostocka, Kamienna Nowa, leśnictwo Trzy Rzeczki ",Sokolka@zhp.pl,Brak,w sezonie letnim,obóz/kolonia;,"Baza położona jest w miejscowości Kamienna Nowa, w otulinie Biebrzańskiego Parku Narodowego;",Baza posiada 80 miejsc noclegowych w namiotach ,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,,boisko;krąg ogniskowy;świetlica w budynku;,"                    Lokalizacja bazy.
  
        Baza położona jest w miejscowości Kamienna Nowa, w otulinie Biebrzańskiego Parku Narodowego (woj. podlaskie). 800 metrów od bazy znajduje się kąpielisko na Biebrzy. Zaopatrzenie we wszystko, co jest potrzebne do funkcjonowania obozu w Dąbrowie Białostockiej (10 km od bazy).

          
 Dojazd do stanicy.
     
      Samochodem z Dąbrowy Białostockiej przez miejscowości: Osmołowszczyzna, Stara Kamienna.
Pociągiem relacji Białystok - Suwałki przez Sokółkę (stąd jako osobowy). Stacja docelowa Ostrowie Biebrzańskie (stąd 1200m pieszo).

Walory regionu.
        
        Baza położona jest z dala od obiektów wielkomiejskich i przemysłowych, w oazie ciszy i spokoju, w zakątku gdzie przyroda jest jeszcze nieskażona ”produktami cywilizacji”.
       Znakomite położenie bazy umożliwia obserwowanie w jej bezpośredniej bliskości wspaniałego świata zwierząt i roślin Biebrzańskiego Parku Narodowego.  
       Są tu wspaniałe miejsca do pieszych wędrówek.
W Augustowie można popływać statkiem po jeziorach. Autokarami można pojechać do Kruszynian i Bohonik 
(tu są  jedyne w Polsce meczety tatarskie). 

https://www.facebook.com/groups/431658740192490/",nie,53.408965,23.496686
Śląska,Dom Harcerza Hufca ZHP Ziemi Będzińskiej,śląskie,"42-506 Będzin, ul. Przechodnia 1",bedzin@slaska.zhp.pl,508070777,cały rok,biwak/rajd/weekendowe kursy;,Tereny miejskie.;,"Dom Harcerza położony jest w dzielnicy Będzina - Grodźcu. W niedalekiej odległości - w Rogoźniku - znajduje się zalew z możliwością kąpieli.  Z kąpieli można również korzystać  w zbiornikach POGORIA w Dąbrowie Górniczej. Tereny wokół Domu Harcerza pozwalają na organizację rajdów, gier nocnych i zabaw terenowych.",budynek;namioty (baza udostępnia własne namioty);,toalety murowane;prysznice;ciepła woda;,możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;,krąg ogniskowy;świetlica w budynku;,"W budynku może nocować ok. 30 osób. Nocleg na podłodze na lateksach. Do dyspozycji w pełni wyposażona kuchnia (kuchnia gazowa, garnki i naczynia, sztućce, lodówka, mikrofalówka, warnik 12 l.), toalety i natryski (bieżąca ciepła woda), duża świetlica. Dom Harcerza może udostępnić namioty, kanadyjki, lateksy i koce. Teren pozwala na rozbicie kilku namiotów turystycznych. W najbliższej okolicy można obejrzeć: układ urbanistyczny miasta wraz  Wzgórzem Zamkowymi ścieżką edukacyjną, zamek obronny z XIV wieku, Podziemia Będzińskie, Pałac Mieroszewskich, secesyjny gmach dawnego Starostwa Powiatowego w Będzinie, Dom Modlitw Mizrachi, miejsce pamięci po getcie, Teatr Dzieci Zagłębia; w Grodźcu: Kościół pw. św. Doroty, Cementownia Grodziec, Pałac Ciechanowskich, Willa Solvay; w Czeladzi: Cmentarz żydowski, Pałac pod Filarami, Pałac Saturna, Galeria Elektrownia: w Dąbrowie Górniczej można zwiedzić Kopalnię Ćwiczebną Sztygarka oraz Muzeum Miejskie Sztygarka. W pobliżu Domu Harcerza jest Park Rozkówka a na jego terenie Klub Jeździecki Amigo i strzelnica sportowa. Wszędzie można dojść lub dojechać środkami komunikacji miejskiej.",tak,50.3484336,19.0832143
Stołeczna,Polewicz,mazowieckie,"gmina Wilga 08-470, Polewicz",leszek.ochniewicz@zhp.net.pl,692453288,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;,"Duża polana położona po dwóch stronach rzeki Wilgi, otoczona lasem. Na polanie duzy budunek- kuchnia i świetlica, w częsci zalesionej budynek sanitarny i 5 domków",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;prąd dla obozów;,kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,nie,51.8571439,21.4107473
Dolnośląska,Harcerska Baza Obozowa Hufca ZHP Legnica w Zaborówcu,wielkopolskie,"64-150 Wijewo, Leśniczówka-Papiernia pow. Leszno, woj. Wielkopolskie",legnica@zhp.pl,535-514-790,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza usytuowana jest w sercu lasu, w którym występują drzewa iglaste oraz liściaste. Na bazie znajduje się jezioro, które jest częścią szlaku kajakowego. Możliwości rozstawiania obozów jest kilka. Można rozstawić kilka większych lub kilka mniejszych obozów oraz kilka małych i kilka dużych jednocześnie. ",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toaleta typu toi-toi z przyłączem kanalizacyjnym;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,basen;boisko;kajaki;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,nie,51.919807,16.285029
Śląska,"Ośrodek Harcerski ""Borowiany""",śląskie,"42-693, Krupski Młyn, Leśna, ",hufiec@tarnowskiegory.zhp.pl,605932563,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;nad rzeką;,"Ośrodek otoczony jest lasem. Za ośrodkiem płynie rzeka (odnoga Małej Panwi) która wpływa do stawu ""Borowiany"". Podczas akcji letnich często organizowane jest na nim pływanie na kajakach. Większość drzew to drzewa iglaste(sosny). Na ośrodku znajduje się jedno główne obozowisko, z którego najczęściej korzystamy, jednakże jest możliwość zrobienia kilku mniejszych podobozów. Ośrodek posiada budynki murowane koloni zuchowej, stołówki, sanitariatów i ambulatorium. ",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Posiadamy 7 domków kempingowych( 2 pokoje każdy po 6 osób- łóżka piętrowe, kadrówka 2-osobowa).Sanitariaty oraz stołówka  są po remoncie. Na miejscu znajduje się także ambulatorium, świetlica zuchowa oraz wyposażona kuchnia, plac apelowy wraz z boiskiem do siatkówki. Najbliższy sklep jest oddalony od bazy o ok. 2,5 km. Jest możliwość korzystania także z basenu znajdującego się w Krupskim Młynie, czas dojścia to ok.40 min.",tak,50.551625,18.643347
Dolnośląska,Harcerska Baza Obozowa Hufca ZHP Świdnica w NIESULICACH,lubuskie,"Zgrupowanie Obozów Hufca ZHP Świdnica w NIESULICACH, 66-213 Skąpe, Agencja Pocztowa Ołobok, jezioro Niesłysz, Zatoka Wodne Wcięcie.",swidnica@zhp.pl,748520179,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza położona nad jeziorem Niesłysz, przy jego linii brzegowej. Jezioro - największe na Pojezierzu Łagowskim. Leży w otoczeniu dużych partii lasów sosnowych, z licznymi stanowiskami drzew liściastych. Na terenie bazy polany, które okalają drzewa. Przed każdym sezonem Nadleśnictwo Świebodzin sprawdza stan drzewostanu i dokonuje kosmetycznych cięć w celach zapewnienia bezpieczeństwa na naszych obozach. Obozowisko oddalone jest 2 km od wsi Niesulice i 12 km od Świebodzina. Baza istnieje od 1968 roku, nosi imię Krzysztofa Kamila Baczyńskiego. Na turnusie ok. 500 osób. Rozstawiamy od 8 do 12 podobozów, w zależności od liczby uczestników i potrzeb kontrahentów. 
",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,"Budynek: umywalnie, natryski, WC - wszystko po kompleksowym remoncie w 2018 roku, wysoki standard sanitarny. Ciepła woda bez ograniczeń. Czystość utrzymują zatrudnione osoby sprzątające. ;toalety murowane;krany;prysznice;ciepła woda;","ambulatorium obozowe, podstawowe leki, lekarz i pielęgniarka - całą dobę na bazie. ;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;","stanowisko do strzelania z łuku, scena, nagłośnienie i oświetlenie wydarzeń programowych, propozycje wspólnych przedsięwzięć programowych, mapy terenu bazy do biegów na oriantację. rzutnik multimedialny, ekrany, misy ogniskowe, grille przenośne, kamienny stół do ping-ponga, codzienne zajęcia Zumby - prowadzi zawodowy choreograf.;boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;","Kuchnia - pełna obsługa personelu kuchennego. Stołówka murowana, kompleksowo wyposażona: stoły, ławy, wazy, naczynia, sztućce, dzbanki. Cztery posiłki: śniadanie, obiad, podwieczorek ,kolacja. Jedzenie - jak u mamy. Na każdym turnusie o bezpieczeństwo uczestników dba funkcjonariusz policji. Ciągi komunikacyjne, teren wokół budynków sanitariatów i stołówki oraz boisko - oświetlone latarniami. Na całym terenie profesjonalne oznaczenia dróg ewakuacji. W czasie każdego turnusu przeprowadzamy 1-2 próbne alarmy ewakuacyjne. W kilku punktach bazy stanowiska ze sprzętem przeciwpożarowym. ",tak,52.218755,15.381546
Śląska,Baza Obozowa Hufca Dąbrowa Górnicza w Janowie,śląskie,"42-253 Janów, ul. Przyrowska, Nadleśnictwo Złoty Potok, Leśnictwo Dziadówki",komendant@dabrowagornicza.zhp.pl,505091834,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;,"Wysoki las sosnowy, podłoże ściółka leśna, trawa, miejsca dla wielu obozów",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;prąd dla obozów;,krąg ogniskowy;świetlica w budynku;,,tak,50.73053,19.445467
Białostocka,Baza Harcerska w Borkach,podlaskie,"Borki, gmina Gródek, nadleśnictwo Waliły",komendant@bialystok.zhp.pl,798591076,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;,"Baza położona w lesie, ogrodzona, ze stałą infrastrukturą. Można pracować w dwóch podobozach.",domki;namioty (baza udostępnia własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;,boisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,http://bazy.bialystok.zhp.pl/borki/  link do strony bazy,nie,53.196033,23.505314
Białostocka,Baza Harcerska w Stańcykach,warmińsko-mazurskie,"Stańczyki, gmina Dubeninki",komendant@bialystok.zhp.pl,798591076,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza położona w kotlince, około 3 minut od jeziora. Teren nieogrodzony. Dwa obozowiska. Wiata ze stołówką i kuchnią.",namioty (baza udostępnia własne namioty);,toalety przenośne (np. toi-toi);prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,kąpielisko;,http://bazy.bialystok.zhp.pl/stanczyki/  link do strony bazy,nie,54.29752,22.650411
Wielkopolska,Baza Obozowa Hufca ZHP Poznań - Jeżyce w Łowyniu,wielkopolskie,"ul. Okrężna 2, 64-426 Łowyń",poznanjezyce@zhp.pl,48729541531,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,Wokół bazy roztaczają się morenowe wzgórza obrośnięte lasami iglastymi i mieszanymi.  Mamy kilka miejsc na obozy. Przyjeżdżają do nas zarówno indywidualne drużyny jak i całe środowiska.,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,Murowana stołówka;toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Link do strony internetowej: http://lowyn.jezyce.zhp.wlkp.pl/
Baza jest idealnym miejscem dla każdego zucha - zapewniamy własne naczynia oraz sami je myjemy. Przestronny budynek kuchni połączony ze stołówką pozwala na komfortowe zjedzenie pysznych posiłków. Posiadamy również, pokaźne zaplecze sprzętowe - nowe namioty, kanadyjki, materace mogące zagwarantować spokojny nocleg nawet dla 1000 harcerzy. ",tak,52.4940525,15.8964686
Wielkopolska,Harcerska Stanica Podgaje,wielkopolskie,"64-965 OKONEK
PODGAJE - STANICA HARCERSKA
Podgaje",zlotow@zhp.pl,502140984,w sezonie letnim,obóz/kolonia;,zalew rzeki Gwdy;w lesie;nad jeziorem;,"Stanica położona jest na terenie Wału Pomorskiego, w centrum lasów sosnowych, otoczona trzema niewielkimi jeziorami i zalewem rzeki Gwdy; przy trasie Piła – Koszalin. Baza stanowi doskonałe miejsce na organizację wędrówek pieszych; turystyki rowerowej – nowoczesna ścieżka rowerowa dł. ok. 180 km na terenie lasów powiatu złotowskiego – oznakowana – posiadamy mapy  oraz INO. Możliwość wycieczek autokarowych np.: Wał Pomorski, Kołobrzeg, Malbork, Szymbark, Szlak Piastowski; itp. a także zorganizowania spływu kajakowego rzeką Gwdą. Teren stanicy równie ciekawy i atrakcyjny np. do gier terenowych i pionierki obozowej. Na terenie stanicy znajduje się 6 podobozów, które są od siebie niezależne. Jednocześnie na obozie może przebywać 250-300 osób.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,"internet, drukarka, komputer w sporadycznych przypadkach dostępne;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;","miejsce okazjonalnie wykorzystywane do kąpieli,  boisko do siatkówki, 5 kajaków;kajaki;krąg ogniskowy;zadaszona świetlica;","Zapewniamy całodzienne wyżywienie ( 4 posiłki), przygotowywane w obozowej kuchni - budynek z pełnym zapleczem, a także kadrę gospodarczą. Uczestnicy obozów nie pełnią służb gospodarczych. Obóz wystawia warty na podobozie.",tak,53.538834,16.857057
Kujawsko-Pomorska,Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem ,kujawsko-pomorskie,"87-305 Zbiczno 
Ciche 80A",Ciche@brodnica.zhp.pl ,794951643,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Ośrodek jest położony we wsi Ciche, wśród malowniczych lasów i jezior. ",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość dostosowania menu;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,53.3794073,19.3579277
Podkarpacka,"""WOLA"" Stanica harcerska Hufca ZHP Krosno w Woli Michowej",podkarpackie,"Stanica harcerska Hufca ZHP Krosno
Wola Michowa 22, 38-543 Komańcza",komendant@krosno.zhp.pl,505773950,w sezonie letnim,baza startowa na pieszy rajd górski po Bieszczadach;obóz/kolonia;biwak/rajd/weekendowe kursy;,Bieszczady;w lesie;nad rzeką;w górach;,"Zapraszamy wszystkich na: obozy, biwaki, wycieczki, zloty, indywidualny wypoczynek. W okresie od maja do listopada istnieje możliwość wynajęcia bazy na biwaki, zloty, wycieczki, itp. (dla grup do 50 osób). Niniejsza witryna prezentuje podstawowe informacje dotyczące stanicy harcerskiej w Woli Michowej, gdzie od ponad 30 lat organizowane są różne wyżej wymienione formy wypoczynku.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Za dodatkową opłatą organizujemy:
- lekcje jazdy konnej oraz konne wycieczki po okolicy z instruktorem,
- przejazdy Bieszczadzką Kolejką Leśną,
- wycieczki autokarowe po Bieszczadach.
",tak,49.2383318,22.139065
Kujawsko-Pomorska,Harcerski Ośrodek Szkoleniowo Wypoczynkowy,kujawsko-pomorskie,"89-504 Legbąd, Biała 20, Leśnictwo Woziwoda",Tuchola@zhp.pl,48661496635,w sezonie letnim,"Szkolenia, imprezy okolicznościowe, rodzinne;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;nad rzeką;,"Na bazie dostępne są domki od 4 do 9 osobowe, dysponujemy polem namiotowym w lesie, w pobliżu bazy. Dojście do jeziora.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,Rowery wodne i lądowe;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;drukarka dostępna dla kadry;sklepik;prąd dla obozów;,Namioty programowe;boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,Kadra przyjazna i pomocna np. przy załatwianiu transportu na wycieczki i inne. ,tak,53.679128,17.972606
Gdańska,Harcerska Baza Obozowa Papiernia,pomorskie,"83-424 Lipusz, nadleśnictwo Lipusz",malbork@zhp.pl ,790600612,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,Możliwość organizacji mały jak i dużych obozów ,namioty (baza udostępnia własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,,tak,54.119481,17.769424
Mazowiecka,"Stanica Harcerska""Nasz dom"" w Słupi",mazowieckie,"Stanica Harcerska ""Nasz dom"" w Słupi, 09-227 Szczutowo",sierpc@zhp.pl,24 275 24 03,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,wśród wysokich smukłych drzew ;);w lesie;nad jeziorem;,"Teren płaski, las mieszany. Do dyspozycji są 3 podobozy, każdy zdolny pomieścić do 50 uczestników.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;drukarka dostępna dla kadry;komputer dostępny dla kadry;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,nie,52.9758465,19.5741852
Kujawsko-Pomorska,"Harcerski Ośrodek Wypoczynkowy ""Krówka Leśna""",kujawsko-pomorskie,"86-013 Mąkowarsko, leśnictwo Różanna",biuro@krowka-lesna.pl,602-122-420,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Harcerski Ośrodek Wypoczynkowy KRÓWKA LEŚNA jest zlokalizowany w pobliżu Zalewu Koronowskiego, z którym jest połączony rzeczką Krówka. Leży na skraju Borów Tucholskich na półwyspie rozdzielającym jezioro Stoczek i rzekę Krówkę. Teren ośrodka to blisko 7 ha lasu mieszanego z przewagą sosny.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;sklepik;prąd dla obozów;,boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Najbliższe miejscowości to odległe o 6 km Mąkowarsko oraz Koronowo, oddalone od ośrodka o 15 km. W 2014 roku, dzięki środkom unijnym ośrodek został gruntownie zmodernizowany. Dysponujemy nowoczesną stołówką z zapleczem kuchennym (jednorazowo możemy obsłużyć do 100 osób), łaźnią i toaletami. Mamy 13 domków 4-osobowych i dwa 6-cio osobowe, wyremontowany pawilon składający się z 10-ciu 3-osobowych pokoi. Wszystkie domki i pokoje mają dostęp do bieżącej wody.

Posiadamy również 10 domków dedykowanych wczasom rodzinnym i dysponującą dużym pomostem stanicę wędkarską dla ośmiu osób. Dysponujemy kajakami, łodziami wiosłowymi oraz rowerami górskimi. Na terenie ośrodka znajduje się także boisko do siatkówki i koszykówki.",tak,53.416271,17.897946
Kujawsko-Pomorska,Harcerski Ośrodek Wypoczynkowy w Smerzynie,kujawsko-pomorskie,"89-210, Smerzyn, Smerzyn 62, Załachowo",nikodemdolata@zhp.net.pl,603-043-910,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Teren ogrodzony, oświetlony, prawie 4 ha, zalesiony, dysponujemy miejscami noclegowymi w domkach i na polu namiotowym. Dysponujemy miejscami dla wielu małych obozów i kilku dużych.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;,"wiele innych m.in.: geocacing, rowery górskie, ścieżki i tablice edukacyjno  - ekologiczne;boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;","- stół do ping-ponga, piłkarzyki, bilard,
- ścieżki dydaktyczne oraz edukacyjno-ekologiczne,
- sprzęt sportowy,
- możliwość zorganizowania na terenie ośrodka: zumby, tańca towarzyskiego, jazdy konno i wiele innych
- ścianka wspinaczkowa",tak,52.936926,17.866833
Kujawsko-Pomorska,Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem,kujawsko-pomorskie,"87-305 Zbiczno
Ciche 80a",brodnica@zhp.pl,794951643,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Polana otoczona jest dużymi kompleksami leśnymi, pomiędzy rynną jezior Ciche-Zbiczno, a rynną jeziora Wielkie Partęczyny, gdzie czas płynie leniwie, a każdy spragniony czystego powietrza i kąpieli w jeziorach turysta poczuje
się spełniony.
 
W bezpośrednim sąsiedztwie Ośrodka błyszczy tafla jeziora Ciche, które przez wiele osób uważane jest za najpiękniejsze jezioro na Pojezierzu Brodnickim. Należy ono do jezior rynnowych o silnie wydłużonym południkowo kształcie i jest wyjątkowo atrakcyjne dla uprawiania turystyki wodnej i wędko­wania. O dobrej jakości jego wód świadczą korzystne warunki tlenowe i stosunkowo wysoka przejrzystość wody.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,,tak,53.3794073,19.3579277
Śląska,"Stanica Harcerska ""Słoneczna Polana"" w Bierach",śląskie,"43-386 Biery 320 (ul. Sportowa), leśnictwo Jaworze",tomasz.kazubski@zhp.net.pl,602664686,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;w górach;,"Teren obozowiska jest płaski, na bazie drzewa iglaste, za płotem las mieszany, od 2020 roku będzie miejsca dla ok. 150 osób pod namiotami jako 1 duży obóz lub kilka małych, dodatkowo ok. 30 miejsc w domkach/kempingach.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"5 km od Stanicy znajduje się przedwojenna Stanica Kamińskiego, czyli Centralna Szkoła Instruktorska Harcerstwa Męskiego w Górkach Wielkich https://www.facebook.com/StanicaKaminskiego oraz http://stanicakaminskiego.pl/

Fb bazy obozowej: https://www.facebook.com/Biery2016/",tak,49.790994,18.906538
